Noise level:0.0
Greedy done in: 0:00:00.001364, ARIs: [array([1.   , 0.448]), array([0.413, 0.432])]
ILP done in: 0:00:01.128350, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000150, ARIs: [array([-0.019,  0.404]), array([-0.009,  0.993])]
Greedy done in: 0:00:00.001360, ARIs: [array([1.   , 0.584]), array([1.   , 0.114])]
ILP done in: 0:00:01.116437, ARIs: [array([-0.019,  0.85 ]), array([1.   , 0.114])]

Random done in: 0:00:00.000145, ARIs: [array([1., 1.]), array([1., 1.])]
Greedy done in: 0:00:00.001369, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.133996, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000142, ARIs: [array([0.101, 0.26 ]), array([0.246, 0.589])]
Greedy done in: 0:00:00.001361, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.245148, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000150, ARIs: [array([1.   , 0.825]), array([1., 1.])]
Greedy done in: 0:00:00.001349, ARIs: [array([1.   , 0.825]), array([0.189, 0.288])]
ILP done in: 0:00:01.150759, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000157, ARIs: [array([0.086, 0.469]), array([0.062, 0.316])]
Greedy done in: 0:00:00.001332, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.180828, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000146, ARIs: [array([0.415, 0.82 ]), array([0.013, 0.675])]
Greedy done in: 0:00:00.001364, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.169178, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000152, ARIs: [array([0.31 , 0.763]), array([-0.005,  0.728])]
Greedy done in: 0:00:00.001364, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:00.829696, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000144, ARIs: [array([0.32 , 0.355]), array([0.106, 0.806])]
Greedy done in: 0:00:00.001351, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.184597, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000150, ARIs: [array([1., 1.]), array([0.199, 0.561])]
Greedy done in: 0:00:00.001345, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.245785, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000143, ARIs: [array([0.231, 0.907]), array([1., 1.])]
Greedy done in: 0:00:00.001362, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.185997, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000143, ARIs: [array([1., 1.]), array([1.   , 0.682])]
Greedy done in: 0:00:00.001354, ARIs: [array([0.298, 0.491]), array([-0.019,  0.036])]
ILP done in: 0:00:01.174938, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000145, ARIs: [array([-0.006,  0.872]), array([1., 1.])]
Greedy done in: 0:00:00.001364, ARIs: [array([1.   , 0.403]), array([0.003, 0.423])]
ILP done in: 0:00:01.165710, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000159, ARIs: [array([0.216, 0.612]), array([1., 1.])]
Greedy done in: 0:00:00.001382, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.165060, ARIs: [array([1., 1.]), array([1., 1.])]

